,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene-Z0448,88.29057906,1.903232096,1.649913556,1.153534431,0.248691094,NA
gene-Z5729,3370.67994,1.696743798,1.471224726,1.153286625,0.248792758,NA
gene-Z0018,31060.06194,-1.691360971,1.466678042,-1.153191718,0.248831702,0.60325713
gene-Z0034,7573.962525,-1.692986131,1.468302488,-1.153022722,0.248901058,0.60325713
gene-Z0386,375.0252248,1.742382972,1.511207713,1.152973848,0.248921119,NA
gene-Z0324,10379.10959,1.691200829,1.467643033,1.152324368,0.249187807,0.60325713
gene-Z3190,15859.33369,-1.690414596,1.467030101,-1.152269878,0.249210191,0.60325713
gene-Z0927,13575.80911,1.690651886,1.467245244,1.152262645,0.249213162,0.60325713
gene-Z5735,953.5785232,1.707803945,1.483604964,1.151117707,0.249683814,NA
gene-Z2744,480.3128309,-1.725072729,1.499788598,-1.150210591,0.250057145,NA
gene-Z1002,488.9204073,1.723980859,1.500066022,1.149269988,0.25044467,NA
gene-Z4358,31342.61864,-1.684479649,1.465960276,-1.149062275,0.250530303,0.604471383
gene-Z1914,101.059323,1.868263495,1.627062255,1.1482434,0.250868098,NA
gene-Z0090,17537.29094,1.683367925,1.466239886,1.148084935,0.250933503,0.604471383
gene-Z2130,3.104096755,-5.388959731,4.694292207,-1.147981313,0.250976278,NA
gene-Z2393,3.104096755,-5.388959731,4.694292207,-1.147981313,0.250976278,NA
gene-Z3106,3.104096755,-5.388959731,4.694292207,-1.147981313,0.250976278,NA
gene-Z3141,3.104096755,-5.388959731,4.694292207,-1.147981313,0.250976278,NA
gene-Z3327,3.104096755,-5.388959731,4.694292207,-1.147981313,0.250976278,NA
gene-Z5857,3.104096755,-5.388959731,4.694292207,-1.147981313,0.250976278,NA
gene-Z6016,3.104096755,-5.388959731,4.694292207,-1.147981313,0.250976278,NA
gene-Z5343,7496.846695,-1.684307678,1.46742242,-1.147800153,0.251051074,0.604471383
gene-Z1787,8877.515374,-1.683096226,1.466994468,-1.147309184,0.251253859,0.604471383
gene-Z4801,3395.73084,1.685805376,1.470056712,1.146762137,0.251479942,NA
gene-Z4382,2233.909372,-1.687864451,1.472363367,-1.146364062,0.251644546,NA
gene-Z5297,11890.1839,-1.679199384,1.466174498,-1.145292997,0.252087806,0.60482409
gene-Z4390,30679.53324,1.677914127,1.465307602,1.145093443,0.252170451,0.60482409
gene-Z3356,111.1937794,1.844980115,1.612128458,1.144437408,0.252442282,NA
gene-Z0576,56617.16438,-1.674876903,1.464757311,-1.143450106,0.252851759,0.604954603
gene-Z0353,88523.45344,-1.674182892,1.464592459,-1.143104951,0.252995019,0.604954603
gene-Z1328,195.155402,-1.767947201,1.547472334,-1.142474189,0.253256969,NA
gene-Z4219,510.8336525,1.706365035,1.496835302,1.139981822,0.254293874,NA
gene-Z5802,617.2286662,1.699886536,1.491256145,1.139902452,0.254326943,NA
gene-Z2665,495.0279274,1.706651072,1.497786287,1.13944899,0.254515933,NA
gene-Z2389,25017.12383,-1.667164042,1.464284348,-1.138552115,0.25489001,0.607843198
gene-Z4972,646.7930904,-1.695066851,1.488973149,-1.13841331,0.254947939,NA
gene-Z3441,9152.521567,-1.668122691,1.465394213,-1.138343987,0.254976873,0.607843198
gene-Z3815,637.0948854,1.696229673,1.490128307,1.138311154,0.254990578,NA
gene-Z5071,579.9459473,1.698733518,1.492675295,1.138046248,0.255101171,NA
gene-Z5623,101639.7723,-1.664512195,1.463569964,-1.137295952,0.255414586,0.607961549
gene-Z2632,17631.11856,-1.663862578,1.464187029,-1.13637298,0.255800499,0.607961549
gene-Z3027,17.38294183,2.584937531,2.276073266,1.135700494,0.256081934,NA
gene-Z2492,888.4092703,1.682065094,1.482072709,1.134941008,0.256400037,NA
gene-Z5830,5268.591812,1.662726857,1.466095483,1.134119078,0.256744602,NA
gene-Z1309,2845.550664,1.664760443,1.468728796,1.133470282,0.257016814,NA
gene-Z2525,1574.884462,-1.666229815,1.472841638,-1.131302763,0.257927682,NA
gene-Z4145,22696.24941,-1.654660725,1.463050648,-1.130966127,0.258069349,0.612427412
gene-Z3697,4287.680459,-1.657333346,1.466084424,-1.130448778,0.25828717,NA
gene-Z1423,2798.787866,1.659392484,1.468261107,1.130175331,0.258402352,NA
gene-Z2623,4864.002163,1.655240065,1.465557786,1.12942668,0.258717883,NA
gene-Z5858,47.16549178,2.023191236,1.791965188,1.129034899,0.258883112,NA
gene-Z1058,880.0701563,-1.672069919,1.481175569,-1.128880299,0.258948333,NA
gene-Z3185,6677.281257,-1.653245766,1.464994499,-1.128499641,0.259108969,0.613967104
gene-Z0959,402.2406028,1.693646297,1.503198021,1.126695401,0.259871288,NA
gene-Z0932,2989.765321,1.652785902,1.467719835,1.126090868,0.260127059,NA
gene-Z3167,1732.706809,-1.656857374,1.471494338,-1.125969248,0.260178536,NA
gene-Z5045,20984.31489,-1.6462342,1.462722272,-1.125459174,0.260394508,0.615296051
gene-Z0783,2968.909147,-1.650587832,1.467350341,-1.124876443,0.260641396,NA
gene-Z1979,24724.31522,-1.644916764,1.46246632,-1.124755313,0.260692735,0.615296051
gene-Z0129,2900.014978,1.64961223,1.467502962,1.124094651,0.260972874,NA
gene-Z1327,20.01722935,2.445875767,2.17631454,1.123861336,0.261071856,NA
gene-Z1422,4650.54098,1.645930169,1.465170816,1.123370839,0.261280029,NA
gene-Z5978,1393.739443,1.655209265,1.473607993,1.123235808,0.261337358,NA
gene-Z2695,2225.939394,1.648683566,1.468926012,1.122373457,0.261703685,NA
gene-Z1112,5590.478256,-1.643019111,1.464222065,-1.122110608,0.261815414,NA
gene-Z0440,1200.597509,1.655328488,1.475307565,1.122022639,0.261852814,NA
gene-Z5174,277.8082702,1.705643764,1.520733374,1.121592906,0.262035569,NA
gene-Z3091,5.990067793,-3.794370354,3.383335897,-1.121487925,0.262080229,NA
gene-Z0821,31626.87001,-1.639129146,1.461669104,-1.121409176,0.262113732,0.615296051
gene-Z3959,555.6836559,1.670201276,1.491075484,1.120131941,0.262657541,NA
gene-Z1704,8590.730391,1.638507545,1.462861559,1.120070136,0.262683875,0.615296051
gene-Z4246,69991.07297,-1.636425347,1.46110837,-1.119989031,0.262718437,0.615296051
gene-Z3665,29743.63968,-1.635570179,1.46128593,-1.119267725,0.263025941,0.615296051
gene-Z1231,7380.904486,-1.636739952,1.462876376,-1.118850491,0.263203927,0.615296051
gene-Z5193,88232.79253,-1.633660039,1.460746425,-1.118373464,0.263407523,0.615296051
gene-Z0607,8225.990633,1.635653049,1.462607434,1.118313097,0.263433295,0.615296051
gene-Z2775,1971.839711,1.64133163,1.468923642,1.117370286,0.263836034,NA
gene-Z4524,384147.8631,-1.631756028,1.460401452,-1.117333885,0.263851593,0.615296051
gene-Z1473,355.8637194,-1.681739412,1.505407391,-1.117132427,0.263937708,NA
gene-Z0236,8354.147882,1.633476757,1.462328685,1.117038032,0.263978064,0.615296051
gene-Z3979,8395.541431,-1.631148255,1.46199719,-1.115698625,0.264551159,0.615718328
gene-Z5975,3280.761808,-1.634277346,1.465008128,-1.115541488,0.26461845,NA
gene-Z2523,2761.119232,1.635359828,1.466108653,1.115442451,0.264660867,NA
gene-Z0519,2755.380848,-1.634416952,1.465852668,-1.114994015,0.264852986,NA
gene-Z0911,499.9441455,-1.662715301,1.492064587,-1.114372203,0.265119543,NA
gene-Z1538,265.8281346,-1.692239642,1.520018713,-1.113301847,0.265578813,NA
gene-Z0973,84.33075834,-1.828851528,1.64335919,-1.112873886,0.265762597,NA
gene-Z2063,3651.374182,1.628957418,1.464074542,1.112619181,0.265872019,NA
gene-Z4442,168069.9933,1.623127924,1.45946222,1.112141104,0.266077486,0.617232577
gene-Z0599,13488.77695,1.623032877,1.460135361,1.111563298,0.26632596,0.617232577
gene-Z4656,13343.05219,1.622841286,1.460129381,1.111436636,0.26638045,0.617232577
gene-Z4650,53103.83022,-1.619660233,1.458961448,-1.110146012,0.266936113,0.61760677
gene-Z2875,949.031441,-1.638278764,1.475955652,-1.109978313,0.267008372,NA
gene-Z0565,1356.557398,1.632085237,1.471044995,1.109473363,0.267226029,NA
gene-Z1829,10563.49294,1.619450918,1.46010549,1.109132819,0.267372889,0.61760677
gene-Z1766,221.682845,1.700854334,1.533577218,1.109076422,0.267397215,NA
gene-Z1430,769.9670054,1.641720611,1.480421685,1.108954718,0.267449717,NA
gene-Z2625,1183.868945,1.632699221,1.472726114,1.108623801,0.267592506,NA
gene-Z2916,18948.5979,-1.617311883,1.459239275,-1.108325352,0.26772133,0.61760677
gene-Z2724,1342.580573,1.630307637,1.470990685,1.108305887,0.267729734,NA
gene-Z4581,216.41427,1.700937926,1.535180817,1.107972369,0.267873749,NA
gene-Z0372,4407.733498,-1.617779652,1.461854755,-1.106662373,0.268439929,NA
gene-Z2539,4255.951556,1.617504302,1.462050178,1.106326121,0.26858539,NA
gene-Z3999,144591.6961,-1.611679006,1.458023643,-1.105386058,0.268992343,0.619628988
gene-Z0417,724.781424,1.637258363,1.481174176,1.105378685,0.268995536,NA
gene-Z2553,51.22598591,1.946242207,1.761940164,1.104601761,0.269332188,NA
gene-Z3794,43498.22798,-1.610412692,1.458140661,-1.104428904,0.269407128,0.61967584
gene-Z4706,1447.817842,-1.621222461,1.469015518,-1.103611528,0.269761688,NA
gene-Z2946,5988.356345,-1.610274187,1.460328165,-1.102679675,0.270166296,NA
gene-Z5655,11665.39695,1.607794342,1.458911116,1.102050923,0.270439533,0.620335724
gene-Z2793,42712.90828,-1.606454261,1.457829667,-1.101949217,0.27048375,0.620335724
gene-Z2275,1312.428887,1.619759109,1.470105349,1.101797983,0.270549507,NA
gene-Z3415,2910.954822,-1.611895053,1.462974743,-1.10179281,0.270551757,NA
gene-Z4723,639.4607105,1.633971537,1.48364992,1.101318792,0.270757935,NA
gene-Z5024,8643.399363,1.605823137,1.459066522,1.100582538,0.271078389,0.62079322
gene-Z3810,99.26398057,1.782998918,1.620057082,1.100577837,0.271080436,NA
gene-Z4353,641.2896108,1.631834414,1.483377992,1.100079969,0.271297281,NA
gene-Z5649,3773.876941,1.607458138,1.461405388,1.099939928,0.271358296,NA
gene-Z1265,4799.973876,1.605839143,1.460381909,1.099602189,0.271505488,NA
gene-Z3312,317.1715728,1.656982434,1.509551836,1.097665145,0.272350735,NA
gene-Z0197,20358.52898,-1.599616426,1.457497289,-1.097509023,0.272418939,0.622720791
gene-Z1994,9616.172949,1.599571812,1.458350243,1.096836525,0.272712861,0.622720791
gene-Z1913,289.402491,1.660897542,1.514369015,1.096758798,0.272746846,NA
gene-Z1018,51.84680527,-1.913998521,1.746567238,-1.095863062,0.273138706,NA
gene-Z5799,1378.353191,1.60949826,1.468707969,1.095859963,0.273140063,NA
gene-Z3468,3334.840207,-1.60112053,1.46134168,-1.095651039,0.273231517,NA
gene-Z4489,488.8700706,1.632882808,1.490348679,1.095638108,0.273237178,NA
gene-Z5680,338.8666923,1.648513741,1.505688919,1.094856793,0.273579381,NA
gene-Z3216,135.086935,-1.72279611,1.573551842,-1.094845473,0.273584341,NA
gene-Z0586,4023.681224,-1.595755753,1.460073236,-1.092928569,0.274425163,NA
gene-Z2468,263.4623095,1.660172097,1.519207663,1.092788127,0.274486836,NA
gene-Z5482,3124.33211,-1.596543087,1.461202917,-1.092622433,0.274559609,NA
gene-Z3459,519.8942593,1.625273243,1.487718152,1.09246045,0.274630765,NA
gene-Z1425,729.0936017,1.615254143,1.478567552,1.09244528,0.27463743,NA
gene-Z1441,10529.04586,1.591748334,1.457467177,1.092133229,0.274774546,0.625038392
gene-Z3886,160727.1098,1.589811954,1.455934207,1.091953157,0.274853691,0.625038392
gene-Z2436,8721.471591,1.591569097,1.45774902,1.091799119,0.274921406,0.625038392
gene-Z3272,5338.945746,-1.592246905,1.458835491,-1.091450622,0.275074648,NA
gene-Z2871,5023.670189,-1.59163486,1.458950603,-1.090944996,0.275297086,NA
gene-Z5681,588.8219861,1.618525757,1.483688806,1.090879536,0.275325893,NA
gene-Z3188,15857.35378,-1.588600167,1.456653147,-1.090582319,0.275456713,0.625138228
gene-Z3730,7565.086486,1.588364249,1.457360657,1.089890989,0.275761166,0.625138228
gene-Z0706,12.1647035,-2.711942464,2.489498397,-1.089352967,0.275998264,NA
gene-Z5935,1230.83309,1.599142577,1.468578325,1.088905202,0.276195692,NA
gene-Z4108,1442.750614,-1.59505386,1.466074656,-1.087975877,0.276605757,NA
gene-Z0787,13480.73985,-1.583617818,1.455934768,-1.087698332,0.276728304,0.625568935
gene-Z4121,2813.872098,1.588561662,1.460671816,1.087555497,0.276791386,NA
gene-Z4790,156856.8716,1.581478694,1.454726767,1.087131088,0.27697888,0.625568935
gene-Z5864,1520.218802,-1.592686536,1.465304474,-1.086932146,0.277066798,NA
gene-Z4344,643.7728882,1.609114443,1.480518544,1.086858688,0.277099266,NA
gene-Z4242,23990.17117,1.581498332,1.455250247,1.086753522,0.277145753,0.625568935
gene-Z4532,4096.098963,1.584331204,1.458556278,1.08623248,0.277376151,NA
gene-Z2456,4218.148691,1.583385198,1.458345597,1.085740719,0.27759372,NA
gene-Z1937,93421.651,1.576532141,1.454233716,1.084098191,0.278321265,0.626629071
gene-Z0771,370.1090066,1.624462579,1.498861144,1.083797913,0.278454411,NA
gene-Z4400,2994.966781,1.5818442,1.45959887,1.083752689,0.278474467,NA
gene-Z4229,22418.03845,-1.576079535,1.454661627,-1.083468145,0.278600683,0.626629071
gene-Z1732,167559.4952,-1.574605979,1.453940757,-1.082991843,0.278812044,0.626629071
gene-Z3165,41.3599919,-1.96009428,1.809945392,-1.08295769,0.278827203,NA
gene-Z2056,51.22598591,-1.891972281,1.747112487,-1.082913834,0.278846671,NA
gene-Z1379,13.54057341,2.648499457,2.448151978,1.08183621,0.279325314,NA
gene-Z0813,19.36285219,-2.32492628,2.150043919,-1.081338971,0.279546358,NA
gene-Z2347,806.796694,1.590233432,1.47382085,1.078986928,0.280593555,NA
gene-Z4881,373.3641135,1.615190589,1.498038591,1.078203591,0.28094291,NA
gene-Z0308,7348.286302,-1.568556091,1.455131584,-1.077947939,0.28105699,0.630772188
gene-Z4189,168.1581496,-1.667138827,1.54793427,-1.077008798,0.281476335,NA
gene-Z3534,9838.22493,-1.565436344,1.454288145,-1.076427907,0.281735927,0.631393925
gene-Z3522,3253.680661,-1.567830403,1.457507212,-1.075693067,0.282064549,NA
gene-Z4720,4687.823699,-1.565401261,1.455887551,-1.07522127,0.282275675,NA
gene-Z2311,60.47116057,-1.828025905,1.70341038,-1.07315649,0.283200909,NA
gene-Z2330,4346.641518,-1.561880954,1.455735261,-1.07291552,0.283309022,NA
gene-Z3204,27861.13084,-1.55826511,1.452542745,-1.07278434,0.283367889,0.633441656
gene-Z5076,56127.77416,-1.557624168,1.452211245,-1.072587871,0.283456069,0.633441656
gene-Z4823,548.519065,-1.587970405,1.481930491,-1.071555255,0.28391984,NA
gene-Z4174,42.11504246,1.943177653,1.813795349,1.07133236,0.284020014,NA
gene-Z0243,952.9241461,-1.573914311,1.469357504,-1.071158181,0.284098311,NA
gene-Z2732,5429.467919,1.558158587,1.455262923,1.070705893,0.284301692,NA
gene-Z4710,3569.962952,1.55910509,1.456797774,1.070227534,0.284516903,NA
gene-Z3189,29925.50619,-1.554418618,1.452601775,-1.070092744,0.284577565,0.635044538
gene-Z3809,167.6044459,1.656908597,1.549660655,1.069207372,0.284976237,NA
gene-Z0246,71.36066757,-1.77829829,1.666276247,-1.067228974,0.285868452,NA
gene-Z2238,510.078602,-1.582943702,1.483387376,-1.067114179,0.28592028,NA
gene-Z2179,2101.356051,-1.556449781,1.459261237,-1.066601196,0.28615196,NA
gene-Z0590,94067.37024,1.547972027,1.451620072,1.066375464,0.286253949,0.637076743
gene-Z0187,96467.62564,-1.547794665,1.451590324,-1.066275132,0.286299287,0.637076743
gene-Z0551,2844.644603,1.552418444,1.457186539,1.065353269,0.286716095,NA
gene-Z3149,44.34663635,1.911546344,1.795425817,1.064675759,0.287022684,NA
gene-Z2164,9411.386458,1.546576857,1.452914268,1.064465324,0.287117955,0.637994777
gene-Z1478,25679.03471,-1.543169836,1.451538063,-1.063127365,0.287724196,0.638430677
gene-Z2162,346.4339768,1.591944761,1.498691919,1.062222823,0.288134541,NA
gene-Z5212,34.21217991,2.003523403,1.886747258,1.06189284,0.288284336,NA
gene-Z1551,244.7873922,-1.609995568,1.516240312,-1.061834035,0.288311036,NA
gene-Z3182,17130.85562,-1.540845467,1.45158602,-1.06149098,0.28846683,0.638430677
gene-Z0508,25670.54459,-1.54026969,1.451243588,-1.0613447,0.288533279,0.638430677
gene-Z3817,215.055179,1.6207408,1.527158042,1.061279026,0.288563114,NA
gene-Z3504,610.617779,1.568503614,1.477957751,1.061264176,0.288569861,NA
gene-Z1985,17146.6949,-1.537831925,1.451279215,-1.05963891,0.289308905,0.639044688
gene-Z4280,5558.363439,1.54001943,1.453353212,1.059631903,0.289312094,NA
gene-Z0674,110.2373821,1.690537265,1.596054685,1.059197583,0.289509805,NA
gene-Z0968,46.57823023,1.883288346,1.778821313,1.058728234,0.289723566,NA
gene-Z0684,13586.2288,-1.534687589,1.451183574,-1.057542007,0.290264294,0.639044688
gene-Z4536,169.9870499,-1.631481033,1.543411845,-1.057061366,0.290483582,NA
gene-Z2940,361.6524404,1.580133627,1.49570967,1.056444081,0.290765376,NA
gene-Z5745,3636.961105,1.536210194,1.454391774,1.056256108,0.290851223,NA
gene-Z5473,26424.8401,1.531941336,1.45040046,1.05621956,0.290867916,0.639044688
gene-Z4791,65881.8529,1.530651254,1.449929167,1.055673125,0.29111758,0.639044688
gene-Z2747,261859.9244,-1.529757143,1.449662648,-1.055250437,0.291310802,0.639044688
gene-Z4112,132417.3782,1.529826257,1.449730997,1.05524836,0.291311752,0.639044688
gene-Z1121,7.063917481,3.375459304,3.199460975,1.055008744,0.291421326,NA
gene-Z2825,545.3814105,-1.559983574,1.479235662,-1.054587591,0.291613981,NA
gene-Z5588,17.09770051,-2.340692754,2.219693591,-1.054511651,0.291648729,NA
gene-Z3720,7562.787777,1.530807561,1.451702904,1.054490941,0.291658206,0.639044688
gene-Z4851,4984.155876,-1.531541349,1.45272043,-1.054257458,0.29176506,NA
gene-Z1874,82.87099392,1.725079715,1.640254585,1.051714612,0.292930505,NA
gene-Z2698,579.2244546,1.554186234,1.477810075,1.051681985,0.292945479,NA
gene-Z4787,504.4073333,1.557817285,1.481955437,1.05119037,0.293171165,NA
gene-Z1592,3.221549065,4.818079786,4.586669992,1.05045268,0.293510036,NA
gene-Z0982,18.74203284,-2.268342968,2.160317878,-1.050004257,0.293716156,NA
gene-Z2386,139184.3763,-1.520083585,1.448732431,-1.049250746,0.294062728,0.642688525
gene-Z3827,108384.5719,-1.519848535,1.448738569,-1.049084057,0.294139433,0.642688525
gene-Z3987,2843.067387,-1.525670675,1.454330482,-1.049053633,0.294153435,NA
gene-Z0146,5368.560507,1.52060436,1.451480763,1.047622813,0.294812423,NA
gene-Z3545,54489.21377,1.517219649,1.44861701,1.047357334,0.294934802,0.642994258
gene-Z1541,20.38636518,-2.209450105,2.109949804,-1.047157662,0.295026868,NA
gene-Z2902,2961.174073,-1.522192972,1.453774298,-1.047062789,0.29507062,NA
gene-Z2219,8304.23065,1.518441744,1.450273721,1.047003557,0.295097938,0.642994258
gene-Z6005,16763.12921,1.515784752,1.44909252,1.046023446,0.295550207,0.643087778
gene-Z1927,18.40645481,2.301486323,2.201279757,1.045521959,0.295781797,NA
gene-Z2730,604.7955003,1.542197666,1.47551394,1.045193559,0.29593352,NA
gene-Z4573,4376.289837,1.517301606,1.451780394,1.045131627,0.295962138,NA
gene-Z4904,488.2324724,-1.547790039,1.481078224,-1.045042735,0.296003219,NA
gene-Z0840,10.10089863,2.834906578,2.713325343,1.044808941,0.296111282,NA
gene-Z2427,987.2202205,1.530052763,1.464787049,1.044556452,0.296228015,NA
gene-Z5656,11690.80021,1.513826923,1.449283513,1.044534702,0.296238072,0.643315232
gene-Z0857,26.96369452,-2.053332944,1.96625086,-1.04428839,0.296351983,NA
gene-Z5342,8274.464879,-1.51356108,1.449736151,-1.044025204,0.296473729,0.643315232
gene-Z0996,5534.06759,-1.514528929,1.450708467,-1.043992616,0.296488806,NA
gene-Z4198,112.0327245,-1.656436876,1.586686539,-1.043959746,0.296504014,NA
gene-Z4282,323.2455351,-1.562786051,1.497484482,-1.043607509,0.296667017,NA
gene-Z5670,125.4558456,1.643428987,1.575830467,1.042897077,0.296995964,NA
gene-Z3074,5.369248442,-3.62444489,3.476371074,-1.042594364,0.297136201,NA
gene-Z0347,405.0762371,1.551202864,1.488424329,1.042177848,0.297329231,NA
gene-Z4420,134569.0039,-1.507967604,1.447512089,-1.041765119,0.297520589,0.644696339
gene-Z1053,5046.338485,1.511224182,1.450711445,1.041712456,0.297545012,NA
gene-Z3941,138.1239162,-1.624494351,1.560714154,-1.040866033,0.297937728,NA
gene-Z5464,65790.25688,-1.506393827,1.447467175,-1.040710182,0.298010076,0.644867534
gene-Z0201,6287.557714,1.50843239,1.449842694,1.040411071,0.29814896,NA
gene-Z0302,840.0356976,1.524601344,1.466873155,1.039354589,0.298639856,NA
gene-Z4081,101.1264386,1.66752225,1.60470474,1.039145837,0.298736916,NA
gene-Z2098,930.0712824,1.521614381,1.464859051,1.038744567,0.298923548,NA
gene-Z4958,4093.263328,-1.506680244,1.450845867,-1.038484017,0.299044773,NA
gene-Z1725,2910.06554,-1.507870066,1.452415467,-1.038180947,0.299185821,NA
gene-Z2512,57218.25174,-1.502230591,1.4470809,-1.038110993,0.299218384,0.645871563
gene-Z3543,15047.62078,1.502803461,1.447884794,1.037930274,0.299302518,0.645871563
gene-Z2540,2798.066373,1.507058631,1.452678313,1.037434522,0.299533397,NA
gene-Z3888,16935.24718,-1.501238719,1.447589597,-1.037061003,0.299707428,0.645871563
gene-Z2714,3088.978965,-1.504534127,1.451789136,-1.036331027,0.300047736,NA
gene-Z3630,253.3781897,-1.564277775,1.509461785,-1.036314924,0.300055246,NA
gene-Z1282,77.09905184,-1.702495839,1.64444963,-1.035298259,0.300529643,NA
gene-Z5351,66139.79495,1.497502973,1.446579646,1.035202574,0.300574317,0.6468524
gene-Z5389,1527.282719,1.507865316,1.457207184,1.03476385,0.300779209,NA
gene-Z3271,2341.730592,-1.502507998,1.453091829,-1.034007602,0.301132609,NA
gene-Z0127,2281.326547,-1.502335694,1.453239305,-1.033784105,0.301237104,NA
gene-Z1503,2404.584357,-1.500901307,1.45276753,-1.03313247,0.30154191,NA
gene-Z3245,1513.97705,-1.504043631,1.456645373,-1.032539326,0.301819535,NA
gene-Z0581,26287.95782,-1.492858121,1.446438899,-1.032092072,0.302028987,0.649093761
gene-Z4327,1566.243328,1.502896573,1.456463456,1.031880729,0.302127995,NA
gene-Z0140,3993.177182,1.495444342,1.449905746,1.03140797,0.302349545,NA
gene-Z5179,105.1869328,1.64730036,1.597350215,1.031270628,0.302413928,NA
gene-Z0288,1224.759127,1.504937819,1.45932545,1.03125579,0.302420885,NA
gene-Z5639,9007.68609,1.491697655,1.447436724,1.030578836,0.302738365,0.649729469
gene-Z3388,171.2958042,1.58438414,1.539795023,1.028957826,0.303499493,NA
gene-Z3581,10838.81793,-1.488230788,1.446767826,-1.02865903,0.303639929,0.650463954
gene-Z4340,1334.694489,1.49845587,1.457250017,1.028276447,0.303819807,NA
gene-Z4265,140234.702,-1.485879564,1.44528516,-1.028087471,0.303908684,0.650463954
gene-Z5064,4536.947818,-1.488652185,1.448273033,-1.027880897,0.304005856,NA
gene-Z0951,272.4893584,1.545420889,1.504806694,1.026989643,0.304425341,NA
gene-Z0321,4615.808654,-1.486996015,1.448047934,-1.026896955,0.304468988,NA
gene-Z3181,9137.454114,-1.484869944,1.446268545,-1.02669034,0.304566299,0.650984566
gene-Z0895,28.13821761,2.012921283,1.960897772,1.026530455,0.304641616,NA
gene-Z2573,804.6154368,1.503069644,1.465039764,1.025958258,0.30491126,NA
gene-Z4444,3139.970047,1.486876027,1.449643775,1.025683725,0.305040688,NA
gene-Z5989,5641.922368,-1.484354105,1.447202969,-1.025670992,0.305046692,NA
gene-Z5022,187.319655,1.570511989,1.531278907,1.025621121,0.305070208,NA
gene-Z5568,121.2107836,1.617081886,1.576901824,1.025480383,0.305136577,NA
gene-Z0506,20922.53497,-1.481538354,1.44502777,-1.025266355,0.305237527,0.651532818
gene-Z5616,33.00409902,1.938428625,1.891652538,1.024727632,0.305491721,NA
gene-Z3146,5979.614537,-1.48225212,1.446841367,-1.024474523,0.305611198,NA
gene-Z3973,2677.862324,-1.483161062,1.449933815,-1.022916389,0.30634738,NA
gene-Z0031,9091.832281,-1.478345943,1.445606683,-1.022647419,0.306474581,0.652735603
gene-Z4968,205.5750997,1.556825785,1.523113449,1.022133831,0.306717563,NA
gene-Z1319,8885.334342,-1.477190731,1.445525489,-1.021905696,0.306825536,0.652735603
gene-Z0294,744.9496635,-1.49679655,1.465297353,-1.021496796,0.307019127,NA
gene-Z1975,8006.891739,-1.476639103,1.445648879,-1.021436896,0.307047492,0.652735603
gene-Z5442,130.1371591,1.599868761,1.567260105,1.020806155,0.307346288,NA
gene-Z4300,3088.274251,-1.478814828,1.448767071,-1.020740227,0.30737753,NA
gene-Z0004,12077.40288,-1.474173013,1.444782705,-1.020342373,0.307566114,0.652954547
gene-Z4714,4340.735345,-1.474855096,1.446963839,-1.019275711,0.308072092,NA
gene-Z5692,753.1377674,1.49306469,1.465225716,1.018999785,0.308203069,NA
gene-Z3852,9026.696586,-1.471822641,1.444911445,-1.018624807,0.308381123,0.653084896
gene-Z1097,301.2148376,-1.52389168,1.49621452,-1.018498123,0.308441293,NA
gene-Z5188,30349.08956,-1.470267933,1.443617353,-1.018460972,0.308458939,0.653084896
gene-Z3704,312.6580483,1.523053064,1.495675939,1.018304182,0.308533421,NA
gene-Z2696,399.2539583,1.511427666,1.484390734,1.018214161,0.308576191,NA
gene-Z0163,5338.459158,-1.472359746,1.446081253,-1.01817221,0.308596124,NA
gene-Z3202,22910.83478,-1.468236731,1.443565145,-1.017090733,0.309110268,0.653583085
gene-Z0743,1289.508908,-1.480062862,1.455406464,-1.016941245,0.309181381,NA
gene-Z3521,2103.386298,-1.47342228,1.450378212,-1.015888316,0.309682573,NA
gene-Z4957,3941.296819,-1.46922111,1.446726183,-1.015548849,0.309844274,NA
gene-Z2944,468.215243,-1.498102267,1.47679186,-1.014430204,0.310377518,NA
gene-Z3961,320.7790366,1.513977847,1.493566524,1.013666162,0.310742075,NA
gene-Z0194,11106.65954,-1.462093818,1.443612947,-1.012801818,0.311154832,0.655844159
gene-Z4359,49616.33557,-1.460779391,1.442459165,-1.012700689,0.311203148,0.655844159
gene-Z4918,28520.96113,-1.460254459,1.442623099,-1.012221737,0.311432045,0.655844159
gene-Z4137,17017.37991,-1.45822629,1.4427618,-1.010718671,0.312151098,0.656478414
gene-Z1311,5744.324003,-1.459923395,1.444616296,-1.010595962,0.312209849,NA
gene-Z4989,563.9556543,1.485855905,1.471049357,1.010065296,0.312464007,NA
gene-Z4168,61.67924147,-1.702495515,1.68565715,-1.009989199,0.312500465,NA
gene-Z0271,99.6834531,-1.612619863,1.596842973,-1.009880051,0.312552761,NA
gene-Z1510,69.2800838,-1.676332196,1.660481422,-1.009545891,0.312712905,NA
gene-Z1554,203.830094,-1.532864621,1.519305105,-1.008924814,0.313010694,NA
gene-Z2475,142.7213351,1.567363663,1.554435901,1.00831669,0.313302453,NA
gene-Z1938,12479.25756,1.454037666,1.442680041,1.007872588,0.313515633,0.658466656
gene-Z0311,314.9567578,-1.502817172,1.492020825,-1.007236057,0.31382135,NA
gene-Z0733,3938.83032,-1.455160642,1.445293053,-1.006827397,0.314017726,NA
